"yearOfStart","CurrentState","sizeOfsite"
2008,"In",20.8
2010,"In",212.72
2013,"In",20.04
2012,"In",64.17
2002,"Out",11.4
2013,"In",10.99
2014,"In",67.5
2011,"In",46.05
2013,"In",8.2
2011,"In",39.92
2008,"Out",23.33
2014,"In",27.95
2010,"In",116.85
2014,"In",3.36
2011,"In",36
2006,"Out",43
2009,"Out",15.46
2014,"In",43.27
2011,"In",200.77
2013,"In",69.56
2011,"In",14.5
2011,"In",150
2011,"In",490.42
2009,"In",81.24
2014,"In",94.08
2012,"In",19.79
2014,"In",19.8
2013,"In",183
2014,"Out",40
2008,"In",218.3
2014,"In",14.7
2012,"In",80.69
2012,"In",25.2
2004,"Out",11.2
2013,"In",95.7
2009,"Out",9
2010,"Out",44.4
2014,"In",157.08
2012,"In",29.83
2014,"In",30.97
2013,"In",10.78
2014,"In",58.71
2013,"In",9
2012,"In",34.2
2012,"In",19.51
2014,"In",45.1
2012,"In",27.1
2014,"In",38.61
2014,"In",22.5
2014,"In",28.37
2012,"In",5.61
2013,"In",18.4
2013,"In",15
2014,"In",80.7
2014,"In",57.52
2014,"In",42.99
2013,"In",21.95
2014,"In",9.9
2014,"In",15.3
2011,"Out",14.86
2012,"Out",99.21
2014,"In",26
2010,"In",264.03
2007,"Out",62.5
2009,"Out",89.06
2009,"Out",50
2013,"Out",32.16
2012,"In",82.43
2013,"In",46.87
2004,"In",0
2009,"Out",310.53
2012,"In",124.92
2014,"In",21.24
2014,"In",49.4
2014,"In",69.28
2014,"In",0
2002,"Out",91.41
2014,"In",5.6
2011,"In",93.9
2004,"In",113.52
2008,"In",306.44
2011,"In",514.6
2011,"In",213.65
2012,"In",191.1
2012,"Out",70.5
2013,"In",473.34
2005,"In",80.64
2010,"In",202.92
2011,"In",297.58
2006,"Out",84.02
2011,"In",318.52
2004,"Out",21.84
2009,"Out",192.09
2011,"Out",0
2003,"In",65.47
2008,"In",303
2012,"In",60.62
2013,"In",25.31
2007,"Out",29.53
2011,"In",187.5
2011,"In",44.62
2014,"In",8
2010,"In",69.4
2014,"In",96.21
2011,"Out",46.46
2012,"In",12.96
2011,"In",66.6
2014,"In",129.12
2008,"Out",49.5
2002,"In",115
2010,"Out",1.56
2010,"Out",0
2011,"In",45
2010,"In",74.24
2009,"In",67.8
2006,"In",61
2010,"Out",14.32
2002,"In",327.96
2009,"In",7.8
2010,"In",24
2011,"Out",187
2013,"In",12.12
2013,"In",11.92
2013,"In",17.4
2014,"In",51
2012,"In",14.4
2010,"Out",455.4
2010,"In",16
2014,"In",59
2006,"In",83.49
2014,"In",34
2014,"In",44.28
2014,"In",114.78
2014,"In",140.9
2014,"In",94.1
2009,"In",20
2013,"Out",11.77
2013,"In",80
2009,"Out",58.67
2014,"In",26.13
2002,"Out",230.5
2002,"In",108
2011,"In",6.6
2003,"Out",0
2003,"Out",9.9
2014,"In",16.8
2012,"In",7.2
2003,"Out",66
2005,"Out",22.48
2002,"Out",9.9
2009,"Out",15.18
2014,"In",72.3
2013,"Out",113.52
2008,"In",359.11
2009,"In",456.95
2013,"Out",47.97
2005,"Out",120.51
2006,"Out",100.9
2007,"Out",232.28
2007,"In",131.85
2014,"In",103.8
2005,"Out",125.13
2011,"In",28.17
2004,"Out",14.26
2005,"Out",9.22
2004,"Out",47
2003,"Out",24.03
2003,"Out",12
2004,"Out",9
2003,"Out",13.16
2003,"Out",11.22
2003,"Out",33.3
2003,"Out",0
2007,"Out",61.05
2007,"In",59.2
2013,"In",19.2
2003,"Out",6
2003,"Out",3.3
2003,"Out",3.3
2003,"Out",1.65
2002,"Out",4
2011,"In",56.49
2014,"In",46.48
2014,"In",22.14
2009,"Out",56.85
2013,"In",45.2
2014,"In",54.9
2012,"Out",124.38
2013,"In",6.6
2011,"In",170.5
2010,"Out",108.32
2013,"In",65
2010,"Out",89.49
2012,"Out",45.1
2011,"In",105.49
2003,"In",38.48
2013,"Out",46
2013,"Out",34.75
2003,"In",68.38
2009,"Out",149
2004,"In",21
2009,"Out",119
2009,"Out",154
2008,"Out",6.6
2013,"In",539.6
2014,"In",72
2014,"In",57.08
2014,"In",11.22
2014,"In",13.2
2012,"In",111.55
2012,"In",240.72
2010,"Out",63.33
2007,"Out",33.86
2009,"Out",163.01
2010,"In",12.5
2008,"Out",12
2007,"Out",50.22
2014,"In",57.82
2013,"In",119.78
2008,"Out",120
2014,"In",6.6
2013,"In",187.73
2011,"In",13.22
2011,"Out",120
2011,"In",102.3
2011,"In",137.87
2011,"In",15.9
2013,"In",131.31
2013,"In",149.26
2011,"In",74.15
2013,"In",279.3
2012,"In",186.83
2013,"In",213.75
2013,"In",170.1
2014,"In",15
2012,"In",12.08
2014,"In",75.51
2012,"In",11
2013,"In",8.79
2013,"In",92.41
2013,"In",86.46
2010,"In",76.5
2011,"Out",69.41
2013,"In",25.74
2014,"In",4.5
2006,"Out",6.6
2014,"In",4.45
2013,"In",7
2013,"In",6.6
2010,"In",257.11
2010,"In",25
2014,"In",19.2
2013,"Out",22.96
2005,"Out",37.1
2005,"Out",50.3
2009,"Out",72
2010,"In",62.3
2011,"In",15.92
2014,"In",8.36
2010,"In",33.6
2011,"In",42.5
2004,"Out",46.2
1991,"In",49.41
2005,"Out",26.4
2008,"Out",93
1998,"In",181.64
2012,"In",87
2014,"Out",87.4
2014,"In",87.4
2010,"In",6.93
2010,"In",6.93
2014,"In",231.46
2014,"In",454.9
2014,"In",22.8
2012,"In",9.88
2004,"Out",9.9
2007,"Out",10.12
2009,"Out",22.11
2008,"In",80
2012,"In",221.39
2009,"Out",10
1998,"Out",90.01
2003,"Out",11
2010,"Out",100
1990,"Out",140.52
2012,"In",33.75
2011,"Out",34.2
2011,"In",33
2013,"In",6.2
2010,"In",84.32
1994,"In",35.19
2014,"In",320.13
2003,"Out",20
2014,"Out",102.65
2013,"Out",10
2012,"Out",103.1
2009,"Out",140.5
2013,"Out",23.41
2013,"In",92.08
2007,"Out",27.26
2008,"In",157.44
2011,"In",233.64
2014,"In",322.22
2001,"In",0
2013,"In",100.98
2014,"In",228.58
2011,"In",263.83
2006,"Out",101.36
2012,"In",179.37
2003,"In",89.5
2011,"In",304.11
2013,"In",337.29
2001,"Out",0
2003,"Out",48.53
2008,"In",229.2
2010,"In",408.82
2001,"In",185.76
2006,"In",356.4
2011,"In",278.3
2013,"In",226.48
2010,"In",159
2003,"Out",186.3
2013,"In",180.2
2010,"In",245.78
2006,"Out",0
2008,"Out",11.9
2008,"Out",230.04
2007,"Out",39.46
2012,"In",401
2011,"Out",15
2014,"In",20.7
2014,"In",152.05
2011,"In",73.94
2014,"In",37.5
2011,"In",137
2010,"Out",178.12
2013,"In",211.13
2012,"In",56.1
2011,"In",11.22
2009,"In",4.8
2014,"In",93.96
2010,"Out",3.57
2011,"Out",3
2013,"In",17.99
2012,"In",13.8
2012,"In",26.91
2012,"In",5
2006,"In",37
2004,"Out",9.6
1999,"In",17.36
2014,"In",126
2008,"Out",233.6
2011,"In",9.9
2012,"In",6.6
2014,"In",42.9
2014,"In",66
2012,"Out",62.4
2011,"In",11.88
2007,"In",17.77
2014,"In",10
2007,"Out",7.5
2008,"In",19
2001,"In",183.86
2010,"In",15
2010,"Out",115.7
2014,"In",37.94
2006,"In",8.36
2009,"In",6.6
2011,"Out",15.12
2011,"In",12.5
2003,"In",4.4
2012,"In",33.84
2010,"In",213.32
2006,"Out",0
2009,"In",35
2011,"In",200
2010,"Out",35.37
2011,"In",25.2
2005,"Out",339.77
2014,"In",36.03
2008,"Out",80.53
2014,"In",9.7
2011,"Out",169.83
2010,"Out",238.01
2007,"Out",63
2011,"Out",53.74
2008,"In",139
2012,"In",35.7
2004,"Out",28.9
2004,"Out",39.27
2013,"In",14
2003,"Out",83.7
2002,"Out",10.08
2011,"In",112
2003,"Out",0
2011,"Out",13.8
2014,"In",45
2008,"Out",335.78
2014,"In",192.2
2012,"Out",0
2014,"In",18.27
2010,"Out",116.8
2012,"In",122.3
2014,"In",30.3
2001,"Out",0
2005,"In",78.2
2014,"In",159.42
2010,"Out",56.1
2004,"Out",256.32
2005,"In",184
2011,"In",13.5
2014,"In",61.51
2010,"Out",342.82
2013,"In",6.6
2013,"Out",58.49
2014,"Out",62.18
2014,"Out",54.23
2010,"In",109
2012,"In",65.52
2007,"In",0
2013,"In",49
2011,"In",41
2013,"In",58.27
2012,"Out",212.99
2012,"In",150.01
2008,"In",15
2010,"In",58.5
2008,"Out",176.5
2012,"In",44.63
2013,"In",167.32
2014,"In",43.2
2010,"In",61.85
2003,"In",174.57
2011,"In",19.8
2012,"In",10
2013,"In",46
2014,"In",124.2
2013,"In",13.75
2010,"Out",37.93
2011,"In",11.2
2014,"In",33
2011,"In",31.6
2009,"Out",36.86
2013,"In",39
2004,"Out",63
2009,"In",12.2
2014,"In",17.5
2012,"In",48
2009,"In",113.72
2013,"In",8.74
2010,"Out",54.9
2010,"Out",11
2012,"In",96.05
2011,"In",23.5
2014,"In",59
2011,"In",0
2013,"In",48.5
2012,"In",19.9
1995,"In",254.92
2013,"Out",63.24
2013,"In",7.79
2014,"In",32.74
2010,"In",129
2012,"In",19.74
2010,"In",226
2013,"Out",8.63
2011,"In",231.53
2013,"In",51
2012,"In",7
2014,"In",221.1
2008,"In",16.5
2013,"In",82.87
2013,"In",274.09
2014,"In",93.59
2010,"In",163.8
2009,"Out",72.6
2009,"Out",26.4
2013,"In",89.54
2014,"In",62.4
2012,"In",280
2011,"Out",92.56
2012,"In",37.13
2005,"Out",27.77
2011,"In",6.6
2011,"In",11.54
2014,"In",31.66
2014,"In",13.4
2011,"In",12.96
2011,"In",24
2007,"In",220.31
2008,"In",16.32
2008,"In",18.79
2008,"Out",8.5
2005,"In",57.5
2010,"In",159.72
2009,"In",36
2011,"In",5.75
2013,"In",6.6
2011,"Out",128
2012,"In",164.1
2009,"In",91.39
2013,"In",91.85
2010,"Out",49
2014,"In",136.08
2014,"In",166.76
2014,"In",8
2003,"Out",48.84
2009,"In",11.24
2004,"Out",54.87
2006,"In",111.65
2006,"In",182.96
2010,"In",26.49
2011,"In",199.01
2008,"Out",6.61
2010,"Out",5.4
2010,"Out",12
2010,"Out",6.77
2012,"In",16.56
2010,"Out",62.7
2004,"Out",46.22
2012,"In",205.45
2006,"Out",76
2006,"Out",24
2006,"Out",12
2014,"In",98.93
2012,"Out",15.4
2014,"In",10.85
2011,"Out",94.5
2012,"In",35
2011,"In",177.23
2013,"In",96.5
2014,"Out",266.5
2010,"In",179.4
2013,"In",41.37
2012,"Out",33
2012,"Out",16.04
2014,"In",81.06
2014,"In",19.69
2012,"In",43
2008,"In",18
2012,"In",9.25
2011,"In",9.9
2011,"Out",10.5
2012,"In",13.86
2011,"In",9.9
2013,"In",91.03
2011,"In",15.6
2011,"Out",34.2
2014,"In",32.04
2011,"Out",11.15
2012,"In",417.99
2011,"In",22
2013,"In",11.25
2013,"In",17.53
2011,"In",72.54
2012,"Out",46.58
2012,"In",194.81
2012,"In",286.7
2012,"In",163.9
2012,"In",228.8
2010,"In",318.29
2009,"Out",448.77
2010,"Out",60
2014,"In",287.34
2012,"Out",301.05
2009,"In",405.03
2009,"In",226.11
2009,"Out",426
2011,"Out",10.64
2011,"Out",187.81
2011,"Out",84.68
2004,"Out",396.69
2010,"In",113.16
2014,"Out",70.35
2010,"Out",61.6
2013,"In",158.01
2011,"In",11.6
2012,"In",23.25
2012,"Out",24.47
2010,"In",62.37
2013,"Out",393.13
2008,"Out",63.6
2007,"Out",60.77
2011,"In",98.35
2003,"In",6.66
2014,"In",87.52
2012,"In",455.71
2014,"In",21.06
2013,"Out",9.6
2012,"In",106.8
2011,"In",110.65
2006,"In",159.71
2014,"Out",300
2014,"Out",59
2011,"Out",16.5
